users,movies,Movie Genre,Country ,Review
lbarrowsb1,John Wick,Action|Thriller,ZA,3.0
hlockittb2,Fiend with the Electronic Brain (Blood of Ghastly Horror),Horror|Sci-Fi,PH,1.6
khabbonb3,Redacted,Action|Crime|Drama|War,AR,2.6
koaklyb4,Portrait in Black,Crime|Drama|Thriller,PL,0.7
ccolbornb5,Buster Keaton: A Hard Act to Follow,Documentary,CR,4.8
nlangtonb6,Colt Comrades,Western,ZA,0.0
mborrelb7,Too Shy to Try (Je suis timide... mais je me soigne),Comedy,CN,5.0
bmacgraithb8,Undercover Brother,Comedy,BR,2.8
hpleveyb9,Passionada,Comedy|Romance,ID,4.6
mgrininba,Apollo Zero,Documentary,PL,2.1
ltimlinbb,Magic Camp,Children|Documentary,CN,4.4
relldredbc,Decision at Sundown,Western,ID,3.4
pbarczewskibd,Can Go Through Skin (Kan door huid heen),Drama,PE,4.1
whalpinebe,"Bugs Bunny / Road Runner Movie, The (a.k.a. The Great American Chase)",Animation|Children|Comedy,IR,4.6
tvogtbf,The Mummy's Shroud,Horror,PH,1.8
pharrillbg,"Bang Bang Club, The",Drama,MY,3.9
cashmolebh,The Detective 2,Action,VN,4.4
smerrisonbi,"Secret of NIMH 2: Timmy to the Rescue, The",Adventure|Animation|Children|Musical,CI,2.8
bocollopybj,Hollywood and The Pentagon: A Dangerous Liaison,Documentary,CN,3.0
gkaynebk,Rare Birds,Comedy|Drama,CO,0.0
dvasilechkobl,Best Boy,Documentary,GT,4.2
jderechterbm,Captains of the Clouds,Action|Drama|War,SE,4.8
dhardistybn,When Brendan Met Trudy,Comedy|Romance,MX,4.9
bkringebo,D.C.H. (Dil Chahta Hai),Comedy|Drama,ID,4.4
dsherrumbp,Why Stop Now,Comedy|Drama,RU,0.5
ipibornbq,PCU,Comedy,CN,1.0
msalernobr,"Beast at Bay, A",Drama,TH,4.3
efarhertybs,Vicky Donor,Comedy|Romance,TM,3.5
rcaulcuttbt,Ai Weiwei: Never Sorry,Documentary,CL,0.0
msawardbu,Louise-Michel,Comedy,ZA,4.8
dswaytebv,One Way Boogie Woogie,Documentary,DE,4.2
zlevibw,Grave Halloween,Horror,AR,2.2
eguillotbx,"Proposition, The",Drama|Romance,BR,2.7
jshelveyby,"Secret Life of Walter Mitty, The",Comedy|Romance|Thriller,ID,4.9
eohickeybz,"Bronx Tale, A",Drama,FR,0.3
ikaygillc0,High on Crack Street: Lost Lives in Lowell,Documentary,PT,2.1
rcookmanc1,Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),Animation|Children|Fantasy,MX,0.9
afawcettc2,Tanner Hall,Drama,PT,2.7
tclynterc3,Cyberjack (Virtual Assassin),Action|Sci-Fi,PE,4.2
ealsobrookc4,"Four Days in September (O Que É Isso, Companheiro?)",Drama,SE,0.9
ccommingsc5,Dark Floors,Fantasy|Horror,BD,2.7
pbruhnkec6,Triple Agent,Drama|Thriller,CN,2.0
pabbetc7,Louis C.K.: Oh My God,Comedy,CN,2.6
esuggc8,"Eye of the Storm, The",Drama,PL,2.3
cseagrovec9,Andy Hardy's Double Life,Comedy|Romance,BR,1.2
mhaddyca,Pandora's Box (Pandora'nin kutusu),Drama,CY,1.2
wbullentcb,Machete,Action|Adventure|Comedy|Crime|Thriller,JP,0.5
bdurdlecc,Free Fall,Drama,CN,2.8
corneblowcd,"Best of Times, The",Comedy|Drama,HN,2.8
rbergence,Without Warning (a.k.a. Alien Warning) (a.k.a. It Came Without Warning),Horror|Sci-Fi,CR,1.5
ckeoghanecf,Mad Money,Comedy|Crime|Thriller,ID,2.5
jpiffordcg,Crows Zero (Kurôzu zero),Action,CN,3.0
dlettsch,Angel's Leap,Crime,ID,4.4
mthistletonci,Dolores Claiborne,Drama|Thriller,MN,4.9
wdannettcj,Show Me,Crime|Drama|Thriller,TZ,0.8
mnormingtonck,We Own the Night,Crime|Drama,CN,3.5
acaserocl,Jesus Henry Christ,Comedy,PH,1.5
bfoskewcm,Twilight,Drama|Fantasy|Romance|Thriller,LR,1.3
gwhyecn,"Way We Laughed, The (Così Ridevano)",Drama,CN,4.9
lbiaggellico,Tabloid,Documentary,CN,0.2
genticottcp,Friday the 13th Part IV: The Final Chapter,Horror,LV,0.8
cruttercq,"Wedding Director, The (Il regista di matrimoni)",Drama|Mystery,JP,0.6
ffotittcr,Pelle the Conqueror (Pelle erobreren),Drama,LB,4.1
sbrandinocs,Silent Night,Horror,ID,2.4
kshadrachct,Slaves of New York,Drama,BR,4.5
aduplantiercu,"Carabineers, The (Carabiniers, Les)",Comedy|Drama|War,CN,2.0
rdessaurcv,"Man Apart, A",Action|Crime|Drama|Thriller,VN,1.7
wtantrumcw,"Tough Ones, The (Häjyt)",Action|Drama,CN,4.9
hmapledoorecx,Iraq for Sale: The War Profiteers,Documentary,AL,0.3
lshackelcy,Shiri (Swiri),Action|Drama|Romance|Thriller,BR,1.8
eassindercz,Everybody's All-American,Romance,ID,1.5
calgated0,"Wind Journeys, The (Viajes del viento, Los)",Drama,ID,1.9
rcrichd1,Bellflower,Action|Drama|Romance,CN,5.0
dlimprechtd2,Blood Alley,Action|Adventure,CN,4.7
tciccarellod3,Digimon: The Movie,Adventure|Animation|Children,RU,4.9
dculpand4,Double Harness,Comedy|Drama,RU,0.7
aadamovd5,Into the Blue 2: The Reef,Action|Adventure|Thriller,XK,4.7
tbilbrooked6,"Diebuster ""Top wo Narae 2""",Action|Animation|Drama|Sci-Fi,CZ,1.8
brayntond7,Kisses for My President,Comedy,PE,2.0
jogavend8,Girls Rock!,Documentary,BR,4.1
udomenichinid9,Miss Potter,Drama,AL,3.4
lbucklandda,Skeleton Man,Action|Horror,JP,4.8
mraithmilldb,Mrs. Miniver,Drama|War,CN,3.1
gdrengdc,"Overcoat, The (Il cappotto)",Comedy|Drama|Fantasy,ID,0.6
ffeavearyeardd,Internal Affairs,Crime|Thriller,PH,0.7
cfryde,Galician Caress (Of Clay),Documentary,CN,1.1
mcornelissedf,Madame Bovary,Drama,CN,3.2
malsteaddg,Which Way Is Up?,Comedy,CN,0.1
rbellanydh,Your Vice is a Locked Room and Only I Have the Key,Horror|Mystery|Thriller,SE,1.6
opollastrinodi,Legend of the Eight Samurai (Satomi hakken-den),Action|Adventure|Drama|Fantasy,GR,1.1
jisakowiczdj,Blue Juice,Comedy|Drama,ID,0.5
epiaggiadk,Leprechaun in the Hood,Action|Comedy|Horror,KM,4.7
dwhortondl,Double Trouble,Musical,MY,4.3
gclohiseydm,Talking About Sex,Comedy|Drama,CN,4.4
apeschkedn,"For a Good Time, Call...",Comedy|Drama|Romance,CN,0.1
grobillarddo,Feast of Love,Drama|Romance,CN,3.1
iscarfdp,The Gilded Cage,Comedy,PT,1.6
asharrierdq,All the Invisible Children,Drama,PE,2.0
rmaillarddr,Fullmetal Alchemist: The Sacred Star of Milos,Action|Adventure|Animation,CZ,4.9
bmowburyds,Legionnaire,Action|Adventure|Drama|War,CN,0.6
bmcclunaghandt,Wyoming Renegades,Romance|Western,MZ,0.3
acalafatedu,Linewatch,Crime|Drama|Thriller,FR,1.7
ahazeldenedv,Phantom of the Megaplex,Action|Children|Comedy|Mystery,PH,3.6
iioselevichdw,Class Reunion,Comedy,WS,1.6
socahilldx,Jalla! Jalla!,Comedy|Drama|Romance,FI,4.2
sbannarddy,Wild Reeds (Les roseaux sauvages),Drama,RU,2.1
jpiddockedz,Tito and Me (Tito i ja),Comedy,HK,2.0
wbasere0,Fate Is the Hunter,Drama,PH,3.0
fsmallmane1,Lights Out,Horror|Thriller,SE,4.2
pallardycee2,Das Leben ist nichts für Feiglinge,Drama,SL,2.9
vdimblebeee3,Fallout,Action|Sci-Fi,CN,2.8
fscholare4,Class,Comedy,ID,0.3
lpriditte5,"Thrill of It All, The",Comedy,JO,2.7
sgrunbaume6,"Flesh Merchant, The (Wild and Wicked, The)",Drama,AR,4.7
mstorriee7,I Love Your Work,Drama|Mystery,RU,2.9
vbanghee8,Tom and Jerry: The Lost Dragon,Animation|Children|Comedy,VN,1.9
lglassborowe9,Admission,Comedy|Romance,JP,3.3
jtomsenea,The Night Evelyn Came Out of the Grave,Horror|Mystery,BR,1.7
ckorneleb,Shoot the Piano Player (Tirez sur le pianiste),Crime|Drama|Romance|Thriller,SI,1.1
mpyrkeec,"Event, The",Drama,CN,0.0
mkarraned,Gun Crazy (a.k.a. Deadly Is the Female),Crime|Drama|Film-Noir,CN,3.1
lbotlyee,The Swedish Moment,Comedy,CN,0.4
bblockwellef,Digging for Fire,Drama,ID,0.7
mskeateseg,Hoop Realities,Documentary,CN,3.4
vbarradelleh,Another Cinderella Story,Children|Comedy|Musical|Romance,SA,2.4
sburwinei,"Crazy Stranger, The (Gadjo Dilo)",Comedy|Drama,JP,3.4
rschoularej,Coming Apart,Drama,ID,2.1
afaiersek,Law and Order,Action|Romance|Western,SE,4.5
pburgumel,Poltergeist III,Horror|Thriller,GR,0.6
rsketchleyem,Lathe of Heaven,Sci-Fi,IE,3.0
dhaveen,El Hada Buena - Una Fábula Peronista,Comedy|Sci-Fi,PL,3.0
aoddaeo,Floating Skyscrapers,Drama|Romance,CO,1.7
bthunnercliffep,Age of Ice,Adventure|Sci-Fi,ID,2.7
rmartinoneq,Up the River,Comedy|Crime|Drama,PH,2.0
challihaner,Arizona Dream,Comedy|Drama|Fantasy|Romance,MK,0.1
hjahnes,Lovers & Leavers (Kuutamolla),Drama|Romance,BD,0.1
gclawet,"Follow Me, Boys!",Comedy|Drama,PK,4.0
dfranscionieu,Kummeli Goldrush (Kummeli kultakuume),Comedy,JM,1.4
gtolchardev,How to Succeed in Business Without Really Trying,Comedy|Musical,CN,3.8
slangdridgeew,Harvey,Comedy|Fantasy,PT,4.2
hkarpovex,Dracula A.D. 1972,Horror|Thriller,RU,1.4
ylakeey,Albert Nobbs,Drama,BR,3.8
ashrubsallez,You Will Be My Son (Tu seras mon fils),Drama,AZ,1.4
ptealf0,"Undertaker and His Pals, The",Comedy|Horror,TH,4.1
ndrysdallf1,Trench Road (Juoksuhaudantie),Comedy|Drama,MM,0.0
jellensf2,Unfaithfully Yours,Comedy|Romance,CN,2.0
npirellif3,Pat and Mike,Comedy|Romance,RU,4.2
vbinchf4,Disneyland Dream,Documentary,CN,3.5
dmealef5,"One, Two, Three",Comedy,CN,3.2
abloyesf6,Film ist. 7-12,Documentary,MA,1.3
bwimpressf7,Passion,Crime|Drama|Mystery|Thriller,ID,0.2
slarawayf8,"Slumber Party Massacre, The",Horror,DO,4.6
swoltersf9,"North and South, Book I",Drama|Romance|War,CN,3.5
emcginlyfa,Waking Madison ,Drama,FR,0.4
rdoulfb,Conflict,Drama|Film-Noir,RU,4.2
jwolveyfc,"Muppets Take Manhattan, The",Children|Comedy|Musical,AF,2.9
cyvensfd,Top Floor Left Wing (Dernier étage gauche gauche),Action|Comedy|Drama,CN,1.5
kpollandfe,Crossroads,Comedy|Musical|Romance,CN,4.4
smuncasterff,"Dawn Patrol, The (Flight Commander)",Action|Drama|War,HR,0.9
ehakesfg,"Incredible Hulk, The",Action|Sci-Fi,BR,2.6
fskymfh,Queen of the Mountains,Action|Drama,RU,1.4
rglossupfi,Cujo,Horror|Thriller,CN,0.0
hdalyielfj,Chain of Fools,Comedy|Crime,PH,4.0
wmccuskerfk,"Hatchet for the Honeymoon (Rosso segno della follia, Il)",Fantasy|Horror|Thriller,PT,3.0
fhallaganfl,TMNT (Teenage Mutant Ninja Turtles),Action|Adventure|Animation|Children|Comedy|Fantasy,PH,1.8
gbartletfm,Shrek the Halls,Adventure|Animation|Comedy|Fantasy,SE,1.7
fswidenbankfn,Let Fury Have the Hour,Documentary,FR,0.2
jgravestonefo,Genghis Blues,Documentary,NG,2.7
asurcombfp,Rebecca,Drama|Mystery|Romance|Thriller,CN,4.0
faikenfq,Kung Phooey!,Comedy,ID,3.6
cwhittakerfr,Spring Subway,Drama|Romance,CN,1.3
dcoullingfs,"Quare Fellow, The (a.k.a. The Condemned Man)",Drama,ID,3.8
dvarleyft,Our Vines Have Tender Grapes,Drama,CD,4.1
bomullenfu,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,CN,0.5
rbrambellfv,Côte d'Azur (Crustacés et coquillages),Comedy|Musical|Romance,GL,0.0
lmatiebefw,Double Dynamite,Comedy|Musical,CN,1.9
apipesfx,Kangaroo Jack,Action|Comedy,CN,1.0
jlumbfy,Dorm Daze (National Lampoon Presents Dorm Daze),Comedy,SE,0.3
krohlffz,Blue Ruin,Thriller,PL,0.1
cnijsseng0,American Pie,Comedy|Romance,CN,2.9
chaylettg1,Grand Theft Parsons,Comedy|Drama,CN,4.1
sdimnageg2,Snake Woman's Curse,Horror,ID,3.6
lclineckg3,Things Behind the Sun,Drama,TH,0.3
ohulsong4,Kicking and Screaming,Comedy|Drama,IR,0.2
lcorragang5,Noam Chomsky: Distorted Morality,Documentary,BA,1.2
gheeneyg6,"Makioka Sisters, The (Sasame-yuki)",Drama|Romance,BR,2.8
bclemesg7,Mystery Date,Comedy,GR,2.2
ifriskeyg8,"Zed & Two Noughts, A",Drama,TH,4.4
hallmanng9,"Queen of Spades, The",Drama|Horror,CN,2.9
rbaystingga,"Reckoning, The",Drama,ZA,2.1
hescrittgb,Crime of Passion,Crime|Drama|Film-Noir,CN,3.6
npaumiergc,When Willie Comes Marching Home,Comedy|War,AO,3.7
vstylegd,"Room with a View, A",Drama|Romance,MU,4.1
tdegoege,"Fairly Odd Movie: Grow Up, Timmy Turner!, A",Children|Fantasy,KG,0.0
tgriffithsgf,Days and Nights in the Forest (Aranyer Din Ratri),Drama,IR,3.6
atailbygg,Bend of the River,Western,CN,4.3
rviveashgh,Innocence,Adventure|Fantasy|Horror,CN,0.5
eweedengi,Broadway Melody of 1938,Musical|Romance,SE,2.4
nbalchgj,Back to the Future Part II,Adventure|Comedy|Sci-Fi,PH,1.7
tspurgk,Four Minutes (Vier Minuten),Drama,GT,2.9
ftorrejongl,Amira & Sam,Comedy|Drama|Romance,MA,2.0
mpilfoldgm,"Truth of Lie, The (Die Wahrheit der Lüge)",Drama|Thriller,PT,1.1
wscimonegn,Shut Up and Play the Hits,Documentary,PL,2.3
fdigginsgo,Unbeatable (Ji zhan),Action|Drama,CN,2.6
epavolinigp,Flickering Lights (Blinkende lygter),Action|Comedy|Crime,AR,0.6
adalligangq,"Dark House, The (Dom zly)",Crime|Drama|Thriller,CN,4.8
agoffordgr,Trouble the Water,Documentary,IL,5.0
jnapletongs,Johns,Drama,TH,2.4
amcglonegt,Santa Claus Conquers the Martians,Fantasy|Sci-Fi,UY,4.2
skennongu,Bully,Documentary,PL,0.6
kcanninggv,Faust,Animation|Comedy|Thriller,NO,4.2
blastygw,"Reef, The",Drama|Horror|Thriller,ET,3.4
jormondegx,Jönssonligan spelar högt,Comedy,SE,4.3
henefergy,"Black Waters of Echo's Pond, The",Fantasy|Horror|Thriller,CN,2.0
akretschmergz,"Place Beyond the Pines, The",Crime|Drama,CN,0.6
sdillwayh0,"Godfather, The",Crime|Drama,UA,0.7
kmeadeh1,Pauline détective,Comedy,CN,1.7
vswiffanh2,Sleep Tight (Mientras duermes),Horror|Thriller,CN,0.3
rjobesh3,Hands Over the City (Le mani sulla città),Drama,RU,0.2
tbathoeh4,"Invisible Ray, The",Horror|Sci-Fi,US,0.4
cjurkowskih5,"Unsinkable Molly Brown, The",Musical,CN,1.1
kkennardh6,Matrimonial Comedy (Komedia malzenska),Comedy,GR,0.5
dsictornesh7,Pianomania,Documentary,CN,3.0
edobrowolskih8,Boyz N the Hood,Crime|Drama,FR,4.8
swhitfeldh9,Mighty Uke,Documentary,BI,0.8
fpechanha,Redacted,Action|Crime|Drama|War,PH,2.0
gclemensenhb,Merlin,Action|Adventure|Drama|Fantasy|Romance,PH,1.2
cbrodneckehc,Streets of Blood,Action|Thriller,CZ,4.2
vkalinowskyhd,"Murder, He Says",Comedy,RU,4.3
gsindallhe,Fracture,Crime|Drama|Mystery|Thriller,PH,0.7
dbaulcombehf,Tongan Ninja,Action|Adventure|Comedy,VN,0.6
middienshg,Undisputed III: Redemption,Action|Crime|Drama,RU,4.2
rcastertonhh,"Italian Job, The",Action|Comedy|Crime,BR,2.6
msiggeehi,Ziegfeld Follies,Comedy|Musical,ID,2.2
dinstrellhj,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),Drama,CO,3.1
ehakonssonhk,97 Percent True,Documentary,PY,2.3
ahanfreyhl,Girls Against Boys ,Crime|Thriller,CZ,2.5
mbygravehm,Waste Land,Documentary,CA,0.3
lrumboldhn,"Good Woman, A",Comedy|Drama|Romance,PA,4.7
chawksbyho,"Fine Madness, A",Comedy|Drama|Romance,PH,1.6
awaddilowhp,In the Bedroom,Drama,PH,3.1
gwilkeshq,"Man in the Iron Mask, The",Action|Adventure|Drama,SE,3.8
gpetriehr,Hamlet,Drama,PK,1.0
rchecchetellihs,"Tsatsiki, Morsan och Polisen",Drama,SE,1.7
hrobertssonht,Ghost in the Shell Arise - Border 1: Ghost Pain,Action|Animation|Sci-Fi,US,1.6
kfrenchhu,Guilty Hearts,Drama,ID,3.5
dkenanhv,"Delicate Art of Parking, The",Comedy,RU,2.7
sechallierhw,Vital Signs,Drama,ID,4.9
zslipperhx,Abe Lincoln in Illinois,Drama,TH,2.0
mfrankumhy,"Man Apart, A",Action|Crime|Drama|Thriller,BO,3.6
okupkahz,Behold a Pale Horse,Drama|War,ID,2.2
apetrilloi0,Bus 174 (Ônibus 174),Crime|Documentary,PT,2.8
jcamberi1,Another 48 Hrs.,Action|Comedy|Crime|Drama|Thriller,KZ,2.8
sbiesingeri2,2012: Time for Change,Animation|Documentary,FI,2.9
msailli3,Turbo,Adventure|Animation|Children|Comedy|Fantasy,AZ,0.1
lbaxi4,Frozen Hell (Jäämarssi) ,Documentary|War,PH,2.7
mjayei5,Pete 'n' Tillie,Comedy|Drama,CX,2.9
sblunsumi6,Code Name: The Cleaner,Action|Comedy|Crime,CN,2.5
skillbeyi7,"Counterfeit Coin, The (Istoria mias kalpikis liras)",Comedy|Drama|Film-Noir|Romance,SE,4.9
obaythropi8,"Man Who Came to Dinner, The",Comedy,ID,0.7
bcortesei9,Romance on the High Seas,Comedy|Musical|Romance,PK,0.3
briversia,8MM,Drama|Mystery|Thriller,ZA,0.2
hrochewellib,Picnic at Hanging Rock,Drama|Mystery,FR,4.1
mbaumeic,"Covenant, The",Action|Horror|Thriller,ID,1.1
horhrtid,Music for One Apartment and Six Drummers,Comedy,AR,4.6
hbuscombeie,Sitting Bull,Western,VN,1.4
dwallasif,Madadayo (a.k.a. Not Yet),Drama,SE,4.9
mcarpmileig,Herbie Rides Again,Adventure|Children|Comedy,CN,4.9
mvasicih,"Hammer, The",Drama,LY,1.9
bortnerii,Rhythm of a Crime (Ritam zlocina),Crime|Drama,PH,1.8
ltichelaarij,Still Crazy,Comedy|Romance,PL,3.3
bjurischik,Old Men in New Cars (Gamle mænd i nye biler),Action|Comedy,CN,2.6
gmarianil,Backtrack (Catchfire),Action|Drama|Thriller,ID,4.3
msmooteim,"Song of Ceylon, The",Documentary,TN,4.5
jracinein,Crips and Bloods: Made in America,Documentary,PL,4.3
abonninio,"Hacks (Sink or Swim) (Big Twist, The)",Comedy|Mystery,CN,0.2
jhasserip,"Red Shoes, The (Bunhongsin)",Drama|Horror|Mystery,TD,3.6
fmingetiq,Kate & Leopold,Comedy|Romance,PL,0.9
unapoleoneir,Charlie Chan in Honolulu,Comedy|Crime|Horror|Mystery|Thriller,PH,2.4
ghowlingis,"Fort Apache, the Bronx",Action|Drama,RU,3.7
ldelaprelleit,Christmas on Mars,Sci-Fi,ID,4.3
achewteriu,Down From the Mountain,Documentary,CN,1.0
neasoniv,"Clean, Shaven",Crime|Drama,NE,4.6
lclausseniw,The Blood of Fu Manchu,Adventure|Crime|Horror,PE,1.8
idoveix,"Great Ecstasy of Robert Carmichael, The",Drama|Horror,PH,1.0
mburndrediy,Artois the Goat,Comedy,CN,1.6
ghardiiz,A One-Way Trip to Antibes,Drama,RS,1.9
mdodgsonj0,Pusher II: With Blood on My Hands,Action|Crime|Drama|Thriller,HR,0.6
jgrundonj1,"Profession of Arms, The (Il mestiere delle armi)",Adventure|Drama|War,CN,1.8
mspancockj2,"Objective, The",Horror|Sci-Fi|Thriller|War,ID,2.7
ccordesj3,Warsaw Bridge (Pont de Varsòvia),(no genres listed),PH,1.9
ssimoensj4,Crazy Beautiful You,(no genres listed),PH,0.4
gkirkpatrickj5,"Reluctant Dragon, The",Animation|Comedy,RU,4.8
bopferj6,Ice Soldiers,Action|Sci-Fi,ID,0.6
tbulfootj7,Tyler Perry's A Madea Christmas,Comedy,IE,3.7
btruesdalej8,Car Wash,Comedy,US,1.5
ccatterellj9,"Young Black Stallion, The",Adventure|Children|Drama,PT,0.3
sbuntja,Lionheart,Action,FI,1.3
bbavinjb,Grand Masti,Comedy|Drama|Romance,CN,4.8
clatorrejc,Santa Claus: The Movie,Adventure|Children|Fantasy,CR,1.0
haldenjd,American Hustle,Crime|Drama,PT,3.0
gcullinanje,My Boy Jack,Drama|War,CN,0.5
fcradyjf,À l'aventure,Drama,ID,0.2
mtabourinjg,"Show, The",Documentary,PK,1.5
chasnipjh,"Avengers, The",Action|Adventure|Sci-Fi|IMAX,KZ,4.0
fdrinkhallji,Jacques Brel Is Alive and Well and Living in Paris,Musical,MX,1.4
cdragejj,Beck - Öga för öga,(no genres listed),BR,3.2
dworboyjk,Wild Rovers,Western,CN,2.6
dstockportjl,Moonlight Murder,Mystery,CN,1.4
kphibbjm,Never Ever! (Nigdy w zyciu!),Comedy|Romance,CN,0.8
bpovahjn,Sweetwater,Thriller|Western,BD,0.1
sgravestonjo,Atlantic City,Crime|Drama|Romance,BY,3.9
vnasseyjp,Dating Games People Play,Comedy,CH,4.7
btadlowjq,Troll 2,Fantasy|Horror,CM,0.6
otansliejr,The Gold Spinners,Documentary,NC,3.9
tliddardjs,State and Main,Comedy|Drama,PT,4.9
ccrewjt,Atlas Shrugged: Part 1,Drama|Mystery|Sci-Fi,JP,2.3
gmorforthju,Paranoia,Drama|Thriller,CN,3.2
tdurbanjv,"Last Metro, The (Dernier métro, Le)",Drama|Romance,FI,1.3
ccongrevejw,Fitna,Documentary,RU,2.6
ckieranjx,Kronos,Sci-Fi,ID,2.8
ahaslewoodjy,Storm Rider,Drama,LK,3.6
chinkinsjz,Senso,Drama|Romance|War,SY,3.9
obesantk0,"Brøken, The (a.k.a. Broken, The)",Drama|Horror|Thriller,CN,0.7
deykelboschk1,Sasquatch: The Legend of Bigfoot,Adventure|Mystery,NL,3.2
mpulmank2,Leather Jacket Love Story,Drama|Romance,CN,2.6
pmedinak3,Private Property (Nue propriété),Drama,CN,2.9
jtomichk4,"Union, The",Documentary,CN,3.7
sbozworthk5,"Bodyguard, The (Karate Kiba)",Action|Crime|Drama,CN,4.8
cpeckhamk6,Hobson's Choice,Comedy|Drama|Romance,PL,2.6
mellsworthek7,This Island Earth,Sci-Fi,HT,1.8
drappsk8,Night Tide,Drama,AM,3.1
bbashamk9,"Incredible Mr. Limpet, The",Animation|Comedy|War,NG,1.6
ctheobaldska,Forgetting the Girl,Drama,CN,4.5
cbulbrookkb,Angel Heart,Film-Noir|Horror|Mystery|Thriller,HR,1.2
vthomingakc,Carnage,Comedy|Drama,CZ,3.1
rcallendarkd,Must Have Been Love,Drama|Romance,ID,5.0
sbinesteadke,Paid in Full,Action|Drama,SE,5.0
mfeiferkf,Sorority Row,Horror|Thriller,PE,1.7
acaccavellakg,Wayne's World 2,Comedy,PE,3.6
hcollisterkh,Spider-Man,Action|Adventure|Sci-Fi|Thriller,NG,2.3
adewki,Dead Set,Comedy|Drama|Horror,ID,0.8
lgeroldinikj,Paper Planes,Children,ES,0.1
sbeldersonkk,Jamie Marks Is Dead,Drama|Thriller,PH,2.4
rcearleykl,"Manitou, The",Horror,IR,1.6
lstationkm,Big Fish,Drama|Fantasy|Romance,CN,2.4
dcashkn,Orphans of the Storm,Drama,JP,5.0
tsiddonko,Ferocious,Crime|Thriller,AF,1.9
alippardkp,And Starring Pancho Villa as Himself,Action|Comedy|Drama|War,LT,1.2
htwentymankq,Waitress,Comedy|Drama|Romance,AL,1.1
nkeddykr,"Bodyguard, The (Karate Kiba)",Action|Crime|Drama,FR,1.5
afardoks,"Widow of St. Pierre, The (Veuve de Saint-Pierre, La)",Drama|Romance,PH,0.9
hsemarkekt,"Witches of Eastwick, The",Comedy|Fantasy|Horror|Thriller,UA,2.8
ldaymondku,Fortress,Action|Sci-Fi,MY,2.0
babbykv,Ellie Parker,Comedy|Drama,ID,3.3
tethingtonkw,Spider Lilies (Ci qing),Drama|Romance,ID,4.5
wlawdhamkx,Cold Fever (Á köldum klaka),Comedy|Drama,RU,1.4
lgherardelliky,Skeletons,Comedy|Fantasy,ID,5.0
gcastonkz,April Showers,Drama,NI,3.4
ccritzenl0,Over My Dead Body,Comedy|Fantasy|Romance,SE,2.8
corpwoodl1,"Sixth Sense, The",Drama|Horror|Mystery,ID,0.5
fshallowl2,"Naughty Room, The",Comedy|Drama,CN,2.7
alaphaml3,"Naughty Room, The",Comedy|Drama,RU,4.5
mputtl4,Another Cinderella Story,Children|Comedy|Musical|Romance,DM,1.4
vbachmanl5,Adrift (À Deriva),Drama,AR,1.8
lcurnokkl6,Malèna,Drama|Romance|War,KW,2.7
hcrooksl7,"Indian Tomb, The (Das indische Grabmal)",Adventure,VN,4.0
mmuzzillol8,"Padrecito, El (Little Priest)",Comedy|Drama,SE,0.9
pmarhaml9,We Are the Best! (Vi är bäst!),Children|Comedy|Drama,ID,2.8
kbrophyla,A Walk in the Old City of Warsaw,Documentary,US,1.4
emetterickelb,"Look, Up in the Sky! The Amazing Story of Superman",Documentary,BA,0.2
gbamburylc,Dirty Pictures,Drama,CN,4.8
etimbyld,"Amish Murder, An",Action|Crime|Drama,ID,2.3
pcrotchle,Hours,Drama|Thriller,GT,1.4
oweetchlf,Kingpin,Comedy,PH,3.9
nkarolovskylg,India (Indien),Comedy|Drama,BR,1.8
ktedahllh,Blind Horizon,Drama|Thriller,ID,1.2
fdeeganli,"Hairdresser's Husband, The (Le mari de la coiffeuse)",Comedy|Drama|Romance,CZ,0.1
dscreetonlj,Amnèsia,Comedy|Crime|Drama,PH,2.2
acollimorelk,Silkwood,Drama,CA,2.9
dglencroschell,Breakfast on Pluto,Comedy|Drama,PH,2.6
fpeetelm,Chase a Crooked Shadow,Crime|Film-Noir|Mystery|Thriller,CN,0.2
pgeggieln,Police Academy,Comedy|Crime,ID,2.0
jpicardlo,Idle Hands,Comedy|Horror,RU,4.6
bboguelp,The Noble Family,Comedy,FR,4.1
pmattealq,Tremors,Comedy|Horror|Sci-Fi,TN,2.6
klinnanelr,Scary Movie 4,Comedy|Horror,FR,4.6
lbaileyls,"Navigator, The",Comedy,ID,3.7
dsyversenlt,"Hitchhiker's Guide to the Galaxy, The",Adventure|Comedy|Sci-Fi,IR,1.5
dbalsdonlu,Godzilla Raids Again (Gojira no gyakushû),Action|Drama|Horror|Romance|Sci-Fi,NG,0.4
kmccallionlv,"Innocent, The",Drama,SS,4.8
bscotfurthlw,Anger Management,Comedy,CN,0.2
rgittoeslx,Gasht-e ershad,Comedy|Crime|Drama|Romance,BR,0.8
acolebeckly,Backflash (Backflash Blues),Action|Crime|Drama|Thriller,RU,1.4
gsypluslz,Emma,Comedy|Drama|Romance,AR,2.0
mfominovm0,Drop Dead Fred,Comedy|Fantasy,CN,3.9
ggrinishinm1,Something in the Air (Apres Mai),Action|Drama,SE,4.2
gkidderm2,"Kiss, The",Horror,UY,1.0
rmaccarterm3,O Último Mergulho,Drama,ID,1.9
